# channel  phase_bin  observed  model  ns_surface  background  mdnse_contrib
55 12 485 464.315 97.609 366.706 0.040055363
55 13 507 502.186 135.48 366.706 0.0021695107
55 14 556 534.374 167.669 366.705 0.043782648
55 15 527 556.936 190.23 366.706 0.08389521
55 16 613 567.622 200.917 366.705 0.19277039
55 17 554 566.002 199.298 366.704 0.013485184
55 18 557 553.132 186.427 366.705 0.0014006272
55 19 459 531.29 164.586 366.704 0.48922211
55 20 483 503.199 136.495 366.704 0.03819525
55 21 456 472.989 106.285 366.704 0.027019994
55 22 446 446.203 79.499 366.704 3.8578177e-06
55 23 414 428.675 61.97 366.705 0.020160711
55 24 439 425.438 58.733 366.705 0.017218571
55 25 484 438.606 71.9 366.706 0.19290635
55 26 473 468.656 101.95 366.706 0.0017665635
55 27 497 510.468 143.762 366.706 0.01698071
55 28 538 554.793 188.087 366.706 0.026400138
55 29 644 593.917 227.211 366.706 0.23481741
55 30 600 622.202 255.497 366.705 0.046145974
55 31 587 636.043 269.337 366.706 0.22516645
56 0 628 620.844 262.131 358.713 0.0047939145
56 1 635 604.277 245.564 358.713 0.088364305
56 2 553 575.8 217.087 358.713 0.04866529
56 3 531 539.375 180.663 358.712 0.0065662778
56 4 488 499.551 140.838 358.713 0.012490758
56 5 438 460.735 102.022 358.713 0.048388208
56 6 416 426.954 68.241 358.713 0.011232983
56 7 419 400.715 42.002 358.713 0.031299655
56 8 391 382.143 23.43 358.713 0.007343835
56 9 402 376.369 17.655 358.714 0.061500794
56 10 406 389.284 30.57 358.714 0.026158591
56 11 443 417.816 59.102 358.714 0.059374374
56 12 440 454.534 95.82 358.714 0.019775157
56 13 494 491.803 133.088 358.715 0.00045186608
56 14 516 523.507 164.793 358.714 0.0052757287
56 15 509 545.733 187.019 358.714 0.12631718
56 16 544 556.245 197.531 358.714 0.014036771
56 17 557 554.612 195.899 358.713 0.0005338488
56 18 514 541.884 183.171 358.713 0.072787998
56 19 533 520.325 161.613 358.712 0.015039921
56 20 502 492.639 133.926 358.713 0.0082034043
56 21 411 462.914 104.201 358.713 0.25230079
56 22 423 436.595 77.882 358.713 0.017302468
56 23 395 419.4 60.687 358.713 0.055735163
56 24 446 416.277 57.563 358.714 0.082705598
56 25 486 429.227 70.513 358.714 0.3017403
56 26 440 458.695 99.981 358.714 0.032719041
56 27 501 499.707 140.992 358.715 0.00015651165
56 28 540 543.188 184.473 358.715 0.00095145061
56 29 583 581.562 222.848 358.714 0.00019358308
56 30 599 609.304 250.59 358.714 0.0099394264
56 31 649 622.856 264.142 358.714 0.063987286
57 0 611 609.585 258.023 351.562 0.0001874401
57 1 600 593.199 241.638 351.561 0.0043300726
57 2 581 565.086 213.524 351.562 0.023708732
57 3 497 529.17 177.609 351.561 0.09688393
57 4 498 489.949 138.388 351.561 0.0060680518
57 5 449 451.756 100.194 351.562 0.00071106295
57 6 425 418.544 66.983 351.561 0.0039019048
57 7 400 392.778 41.217 351.561 0.0048827512
57 8 387 374.576 23.014 351.562 0.014450155
57 9 353 368.971 17.408 351.563 0.023878874
57 10 351 381.704 30.141 351.563 0.088255044
57 11 371 409.784 58.221 351.563 0.14081691
57 12 497 445.991 94.428 351.563 0.24358091
57 13 504 482.802 131.239 351.563 0.042066792
57 14 501 514.145 162.582 351.563 0.016175988
57 15 538 536.121 184.558 351.563 0.00033052414
57 16 583 546.498 194.936 351.562 0.12473345
57 17 540 544.847 193.285 351.562 0.0021993567
57 18 518 532.213 180.652 351.561 0.018911289
57 19 510 510.856 159.295 351.561 6.8595741e-05
